Iteration,RHC_optimal,RHC_time,SA_optimal,SA_time,GA_optimal,GA_time,MIMIC_optimal,MIMIC_time
0,0.041650867,0.0059,0.039486724,0.0024,0.044040694,0.0026,0.046577549,0.054
100,0.053705487,0.0003,0.037076374,0.0003,0.163586498,0.0656,0.072641263,1.4409
200,0.06453749,0.0002,0.037924825,0.0003,0.164234594,0.0613,0.074540624,2.4228
300,0.069099333,0.0001,0.039559222,0.0001,0.168047624,0.0872,0.082609485,3.5539
400,0.076383533,0.0002,0.037591577,0.0001,0.162614952,0.1206,0.097202231,4.9668
500,0.074346524,0.0003,0.035855493,0.0002,0.160687369,0.1469,0.082721084,6.0393
600,0.079258067,0.0003,0.036014961,0.0003,0.16257242,0.1732,0.073323671,7.328
700,0.087421614,0.0003,0.041779972,0.0005,0.158617625,0.2004,0.095176175,8.54
800,0.084366363,0.0004,0.051930536,0.0003,0.160590329,0.2287,0.075192688,9.4939
900,0.087159718,0.0003,0.060167162,0.0004,0.167937367,0.2152,0.093803453,10.7923
1000,0.090344548,0.0003,0.069232693,0.0004,0.161774409,0.3021,0.081450854,11.9601
1100,0.088517044,0.0004,0.076341191,0.0006,0.16410823,0.3079,0.072627521,13.2445
1200,0.088276274,0.0004,0.075841435,0.0005,0.163496501,0.3503,0.079478711,14.9266
1300,0.093834214,0.0011,0.079908465,0.001,0.162425135,0.4426,0.079361907,15.7141
1400,0.087580323,0.0005,0.083243519,0.0007,0.160322007,0.398,0.081464392,16.9138
1500,0.105692824,0.0005,0.106477485,0.0007,0.163496501,0.4133,0.087278731,18.2336
1600,0.086095961,0.0005,0.082855775,0.0008,0.162236057,0.4859,0.071020397,19.4877
1700,0.094108853,0.0006,0.090146328,0.0008,0.158597418,0.4701,0.077719553,20.7606
1800,0.092813863,0.0006,0.083790173,0.0008,0.162425135,0.5002,0.077536757,22.0322
1900,0.100157707,0.0018,0.100498712,0.0013,0.159216007,0.5686,0.069198686,22.7671
2000,0.103863051,0.0007,0.093213823,0.001,0.158698312,0.5926,0.078777698,24.5852
2100,0.08752009,0.0021,0.10046287,0.0032,0.163437694,0.6538,0.081745313,26.4005
2200,0.098563842,0.0007,0.088295351,0.0011,0.16179262,0.6663,0.074202078,27.2003
2300,0.103585224,0.0007,0.098003143,0.0012,0.159930027,0.6526,0.079882888,28.2635
2400,0.109585513,0.0007,0.089794606,0.0012,0.162949108,0.7262,0.07531705,29.2454
2500,0.115115536,0.0008,0.090737638,0.0013,0.160363536,0.7492,0.077170473,30.7916
,,,,,,,,
Iteration,RHC_optimal,RHC_time,SA_optimal,SA_time,GA_optimal,GA_time,MIMIC_optimal,MIMIC_time
0,0.038585191,0,0.033759915,0,0.044618548,0.0006,0.049445111,0.0272
100,0.051513547,0,0.037984715,0,0.161971424,0.031,0.083048726,1.2472
200,0.057984135,0.0001,0.038382739,0.0001,0.161123262,0.0601,0.079537078,2.4449
300,0.06964758,0.0001,0.032504008,0.0001,0.156926803,0.091,0.076403272,3.6481
400,0.065355862,0.0001,0.032934076,0.0001,0.164231633,0.1149,0.075482462,4.8829
500,0.074774633,0.0002,0.037378152,0.0003,0.162300554,0.1442,0.072587131,6.1609
600,0.074110454,0.0002,0.034479036,0.0002,0.160057774,0.1856,0.073138244,7.212
700,0.077423245,0.0002,0.041559947,0.0003,0.159285309,0.2347,0.092054606,8.5619
800,0.078190962,0.0003,0.05613287,0.0003,0.16410823,0.252,0.076534343,9.9427
900,0.087453053,0.0003,0.067087957,0.0003,0.156914183,0.2496,0.077142561,11.0871
1000,0.083574675,0.0003,0.07125741,0.0004,0.162436425,0.3019,0.087132565,12.0339
1100,0.083409626,0.0004,0.070333841,0.0004,0.162436425,0.3276,0.080773468,13.4412
1200,0.085953641,0.0005,0.077887625,0.0005,0.15979798,0.3725,0.079829213,14.7182
1300,0.089072679,0.0004,0.088579678,0.0006,0.160460617,0.3895,0.080962858,15.9481
1400,0.087828329,0.0005,0.086643757,0.0006,0.160761923,0.4103,0.094236733,16.8647
1500,0.093730777,0.0005,0.095749736,0.0007,0.164234594,0.446,0.077542468,18.7545
1600,0.084444815,0.0005,0.086986703,0.0007,0.158582007,0.4778,0.086538498,19.7878
1700,0.09328348,0.0009,0.094873101,0.0011,0.160970467,0.5237,0.091777295,20.8077
1800,0.091784243,0.0006,0.098346176,0.0009,0.157935659,0.5228,0.084926732,21.9484
1900,0.104217717,0.0011,0.102524501,0.0013,0.160148751,0.5505,0.082519055,23.2686
2000,0.097348197,0.0006,0.097483748,0.001,0.161556945,0.5929,0.087235317,24.5806
2100,0.092758214,0.0009,0.08929103,0.0012,0.16047244,0.5986,0.090632091,25.3336
2200,0.102787251,0.0007,0.09821491,0.0011,0.164556538,0.6353,0.079323321,28.0115
2300,0.115499954,0.0008,0.09305995,0.0013,0.158779143,0.7449,0.073896946,28.4036
2400,0.100412764,0.0007,0.098188045,0.0012,0.15979798,0.6983,0.086657284,28.8999
2500,0.097551946,0.0008,0.101510415,0.0013,0.158527328,0.7415,0.075210688,30.1912
,,,,,,,,
Iteration,RHC_optimal,RHC_time,SA_optimal,SA_time,GA_optimal,GA_time,MIMIC_optimal,MIMIC_time
0,0.034461144,0,0.036907848,0,0.044218448,0.0002,0.048248057,0.0172
100,0.055357163,0,0.038800182,0,0.169175511,0.0326,0.081997199,1.2517
200,0.064389444,0.0001,0.0367621,0.0001,0.159827251,0.0821,0.080416048,2.3891
300,0.076001039,0.0001,0.035559531,0.0001,0.159937753,0.0898,0.086976086,3.5763
400,0.079561234,0.0001,0.039566206,0.0002,0.167850813,0.1276,0.082336439,4.941
500,0.071541054,0.0002,0.036362622,0.0004,0.164234594,0.1506,0.082341167,6.1308
600,0.081431949,0.0002,0.042533206,0.0002,0.158333824,0.1897,0.073435624,7.2503
700,0.076430919,0.0002,0.040662851,0.0002,0.169175511,0.1599,0.087351353,8.6569
800,0.084875864,0.0003,0.054408772,0.0003,0.163029181,0.23,0.070847093,9.7332
900,0.081859688,0.0003,0.058867952,0.0004,0.159299004,0.262,0.096633037,10.888
1000,0.107104694,0.0004,0.066974323,0.0004,0.167850813,0.294,0.076258847,12.039
1100,0.091874192,0.0003,0.075798658,0.0004,0.15891628,0.3149,0.080231459,13.3083
1200,0.094166304,0.0004,0.075149515,0.0005,0.164234594,0.3554,0.070593407,14.5358
1300,0.087498825,0.0005,0.079897578,0.0005,0.161399341,0.389,0.074031484,15.8122
1400,0.097938344,0.0005,0.085409872,0.0007,0.16410823,0.4056,0.07397878,16.8938
1500,0.079718638,0.0007,0.085640071,0.001,0.15643466,0.4193,0.073354349,18.4952
1600,0.103135556,0.0007,0.080209586,0.0007,0.162364807,0.4942,0.088016479,19.7496
1700,0.105592009,0.0006,0.083972209,0.0009,0.158803014,0.5384,0.069486197,21.0607
1800,0.099645713,0.0006,0.090830367,0.0009,0.15979798,0.5186,0.067899672,21.8294
1900,0.107861611,0.0006,0.094745885,0.0009,0.162614952,0.5606,0.072808257,23.1239
2000,0.103071335,0.0006,0.096270078,0.0011,0.157995806,0.5809,0.084850987,24.489
2100,0.088579565,0.0007,0.10166248,0.0011,0.158260144,0.6258,0.074186228,25.8801
2200,0.099891887,0.0007,0.086000449,0.0011,0.15709574,0.6439,0.092662355,26.9624
2300,0.105352603,0.0007,0.092639145,0.0011,0.159795826,0.666,0.088575984,27.7914
2400,0.097267181,0.0008,0.088906982,0.0012,0.157523131,0.6952,0.068996395,28.997
2500,0.108342489,0.0012,0.091976368,0.0019,0.164426061,0.7721,0.071503808,30.4479
,,,,,,,,
Iteration,RHC_optimal,RHC_time,SA_optimal,SA_time,GA_optimal,GA_time,MIMIC_optimal,MIMIC_time
0,0.037511906,0,0.037771769,0,0.042544248,0.0002,0.048542347,0.0171
100,0.053644649,0,0.036279351,0,0.159361377,0.0339,0.080170919,1.2707
200,0.065971732,0.0001,0.037720098,0.0001,0.15979798,0.0785,0.071947948,2.3989
300,0.067095221,0.0001,0.042275475,0.0001,0.158491649,0.1117,0.072953131,3.7333
400,0.068472264,0.0001,0.034346456,0.0001,0.159649968,0.1376,0.079624913,4.9841
500,0.073141545,0.0002,0.034694471,0.0002,0.168047624,0.1596,0.06988599,6.1653
600,0.084065169,0.0005,0.037270229,0.0006,0.156921713,0.1843,0.084778884,7.2577
700,0.086231342,0.0002,0.039671799,0.0002,0.162300554,0.2015,0.074081501,8.5623
800,0.074145999,0.0007,0.0549658,0.0008,0.162555052,0.2276,0.085978725,9.732
900,0.096346831,0.0003,0.064352508,0.0003,0.158735905,0.2697,0.081508443,10.9318
1000,0.080132149,0.0003,0.069267216,0.0004,0.162614952,0.2914,0.089869192,12.0588
1100,0.089159375,0.0003,0.07194337,0.0004,0.157648577,0.3291,0.074709384,13.3861
1200,0.086195291,0.0004,0.078910932,0.0005,0.162555052,0.3388,0.099422828,14.6802
1300,0.094018629,0.0004,0.081435044,0.0006,0.162117569,0.3823,0.086337454,15.577
1400,0.094460195,0.0005,0.087399154,0.0007,0.165756386,0.4068,0.084904114,16.9919
1500,0.094905202,0.0005,0.095810411,0.0006,0.15979798,0.4246,0.084810612,18.0449
1600,0.094517495,0.0005,0.103969176,0.0008,0.160787275,0.4835,0.081914757,19.2505
1700,0.099117039,0.0005,0.093764724,0.0008,0.158957111,0.4811,0.074676215,20.6256
1800,0.099550645,0.0005,0.085749491,0.0009,0.160363536,0.538,0.084583738,21.7991
1900,0.092262979,0.0006,0.093031782,0.0009,0.162425135,0.5322,0.087064102,23.0185
2000,0.084835126,0.0006,0.096110827,0.001,0.162208907,0.584,0.070825904,24.134
2100,0.092807024,0.001,0.095776212,0.0027,0.159891194,0.6104,0.076644964,25.3596
2200,0.099520852,0.0007,0.106118565,0.001,0.163472741,0.6853,0.076921382,26.4149
2300,0.112463972,0.0007,0.097276404,0.0012,0.158107422,0.6755,0.074032399,27.7534
2400,0.105145691,0.0013,0.091957561,0.0013,0.161556945,0.7105,0.075529398,29.2512
2500,0.088048264,0.0008,0.086720814,0.0014,0.162177147,0.716,0.087997044,30.2663
,,,,,,,,
Iteration,RHC_optimal,RHC_time,SA_optimal,SA_time,GA_optimal,GA_time,MIMIC_optimal,MIMIC_time
0,0.038036467,0,0.034843164,0,0.042824134,0.0002,0.04891915,0.0164
100,0.051333946,0,0.039048101,0,0.160057774,0.0328,0.074996886,1.2881
200,0.061681278,0.0001,0.033928405,0.0001,0.167937367,0.0525,0.074246149,2.6096
300,0.072358597,0.0001,0.038733293,0.0001,0.162240884,0.0865,0.072475179,3.7659
400,0.073927102,0.0002,0.034714071,0.0002,0.157595901,0.1226,0.076949512,4.9354
500,0.074859107,0.0002,0.035709152,0.0002,0.162177147,0.161,0.08092121,6.1953
600,0.071833173,0.0003,0.035528816,0.0003,0.161982592,0.2006,0.074530427,7.5672
700,0.077922826,0.0002,0.042986741,0.0003,0.15705109,0.2318,0.079842717,8.6863
800,0.084392092,0.0003,0.057630291,0.0003,0.159496452,0.2292,0.081343441,9.8525
900,0.095044202,0.0003,0.067541426,0.0003,0.158803014,0.2391,0.079757899,10.9843
1000,0.092566206,0.0003,0.069656983,0.0004,0.157489669,0.2878,0.072814275,12.1115
1100,0.100349121,0.0009,0.068976114,0.0012,0.155699341,0.3402,0.081513862,13.2377
1200,0.090189381,0.0004,0.083259314,0.0005,0.156768568,0.3097,0.082850414,14.5239
1300,0.090214712,0.0007,0.079198052,0.001,0.164031956,0.3829,0.076985012,15.7592
1400,0.100477148,0.0004,0.085358635,0.0006,0.158311328,0.4175,0.076301563,16.9679
1500,0.093412149,0.0005,0.083526789,0.0007,0.158284217,0.4212,0.070186425,18.1997
1600,0.084262058,0.0005,0.081988125,0.0008,0.162300554,0.4878,0.080047421,19.1897
1700,0.09601905,0.0005,0.090180262,0.0008,0.159097649,0.4925,0.077669785,20.4268
1800,0.090225995,0.0006,0.086128657,0.0008,0.162240884,0.5432,0.074177306,21.773
1900,0.097901626,0.0017,0.09904828,0.0025,0.157759539,0.5602,0.082412772,22.795
2000,0.101739515,0.0006,0.096621251,0.0009,0.161587601,0.5779,0.093398482,23.9508
2100,0.113257906,0.0006,0.090424912,0.0009,0.162555052,0.5987,0.076774577,25.2292
2200,0.095529793,0.0007,0.085101313,0.001,0.167850813,0.6009,0.076413076,26.452
2300,0.09865575,0.0007,0.092204269,0.0011,0.16047244,0.6896,0.072756497,27.5785
2400,0.098011091,0.0008,0.112094704,0.0012,0.157428648,0.7045,0.074720421,29.1982
2500,0.087994183,0.0008,0.095758677,0.0012,0.159752742,0.727,0.083708639,30.0142
